trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.43314169999212,28.43314169999212,space,14.814515199992456,,,,,,,,,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,1,,,,,43.27886839999701,44.26543800000218,44.26354795999505,46.0819058999914,46.27951469999971,2.7874100094241863,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,46.27951469999971,47.28001309999672,47.28048195999436,49.94706900000165,49.28015900000173,3.6558629541357988,t,1,0.7844940000068163,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,2,,,,,49.94706900000165,50.948250300003565,50.947222760001026,52.0467154999933,52.9465474000026,2.0936345476818787,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,0,,,,,52.9465474000026,53.946271599998,53.94723555999663,56.89738709999074,55.94687800000247,3.951082397316999,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,56.89738709999074,57.89638659999764,57.896655760002616,60.19643749999523,59.896263000002364,3.297495074289299,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,1,,,,,60.19643749999523,61.1961997999897,61.196192359998534,63.845296599989524,63.196976899998845,3.6390666912641754,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,0,,,,,63.845296599989524,64.82993619999615,64.83032245999057,67.79704979999224,66.83047859999351,3.950974628055712,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,3,7,3,,,,,67.79704979999224,68.7965441999986,68.79661115999188,70.66246140000294,70.79610140000295,2.8546792636010827,t,1,0.6345538000023225,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,0,8,3,,,,,70.79610140000295,71.79655820000335,71.79587365999323,74.64522989999386,73.79638509999495,3.8357420490191045,t,1,0.817607200006023,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,1,9,0,,,,,74.64522989999386,75.6450063999946,75.64669206000254,77.7111986999953,77.64467699998931,3.052917123359962,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,1,,,,,77.7111986999953,78.69796059999499,78.69553375998949,80.97806579999451,80.71190219999698,3.253853784495754,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,2,,,,,80.97806579999451,81.97819149999123,81.97913596000144,84.97806589999527,83.97813519999909,3.9881033964848527,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,0,12,2,,,,,84.97806589999527,85.97911259999091,85.9803629600021,88.32908529999258,87.97746329999063,3.3513494922061855,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,0,,,,,88.32908529999258,89.32861359999515,89.32862496000162,91.27819369999634,91.32913420000114,2.93691278594532,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,2,14,3,,,,,91.32913420000114,92.31175280000025,92.3121336599972,94.74441259999003,94.31162320000294,3.4109830919549524,t,1,0.7494645999977365,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,3,15,1,,,,,94.74441259999003,95.74449460000324,95.7452465599883,97.46182329999283,97.74409639999794,2.70346623722567,None,1,,96.7441123000026,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,0,16,3,,,,,97.74409639999794,98.74397989999852,98.74447165999591,100.01050869999744,100.74422039999627,2.257345227051074,t,1,0.9493511999899056,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,0,,,,,100.74422039999627,101.74383500000113,101.7447086599961,103.94429849999142,103.74439789999451,3.2015892641768557,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,2,18,1,,,,,103.94429849999142,104.9438164000021,104.94406255999202,107.27679259999422,106.94392140000127,3.3253257471848503,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,3,19,2,,,,,107.27679259999422,108.27717049999046,108.27860895999329,111.04295699999784,110.2764382000023,3.7577553626206774,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,1,,,,,111.04295699999784,112.0433875000017,112.04377056000085,114.79333099999349,114.04311579999921,3.740596157958007,None,1,,113.04352469999867,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,1,21,2,,,,,114.79333099999349,115.79410069998994,115.7949420600009,118.7094197999977,117.80962509999517,3.9145187179039205,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,2,22,3,,,,,118.7094197999977,119.7096259999962,119.71028635999683,121.7959775999916,121.7099254999921,3.0737915505935662,t,1,0.7104016999946907,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,0,,,,,121.7959775999916,122.79344259999925,122.79279045998847,123.81040529999882,124.79324949999864,2.0030385245840083,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,0,,,,,124.79324949999864,125.79386039999372,125.79281425999507,128.45958300000348,127.79359560000012,3.655576460516945,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,1,,,,,128.45958300000348,129.45965779999096,129.45953396000112,131.90870559999894,131.45984860000317,3.4448788137312,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,2,26,2,,,,,131.90870559999894,132.90885389999312,132.90949165999626,134.00915220000024,134.91031769999245,2.1010040063536266,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,3,27,3,,,,,134.91031769999245,135.90890189999482,135.90960965999255,136.9942691000033,137.90973319999466,2.0776241039756345,t,1,0.7703457000025082,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,0,,,,,137.90973319999466,138.90937749999284,138.90900235999578,140.50827350000327,140.9079972000036,2.58641178534425,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,2,,,,,140.9079972000036,141.90854180000315,141.9125436599963,143.45906480000122,143.90845259999332,2.5357339853291565,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,2,30,1,,,,,143.90845259999332,144.90783009999723,144.90926005999353,147.49199280000175,146.90837809999357,3.5800455761244354,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,3,31,3,,,,,147.49199280000175,148.47468649999064,148.47630695999686,150.2926543999929,150.4749320999981,2.7943429096374617,t,1,0.8404709000024013,149.4750287999923,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,0,32,2,,,,,150.4749320999981,151.4747642000002,151.4754366599911,152.94182629999705,153.47471860000223,2.4588318406557508,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,1,33,3,,,,,153.47471860000223,154.47452099999646,154.4753794599921,156.32499989999633,156.47496859999956,2.839047896096223,t,1,0.8714728000049945,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,2,34,1,,,,,156.47496859999956,157.47579899999255,157.47511095999943,159.4928096999938,159.4928096999938,3.0090849644360365,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
