trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.990828199952375,10.990828199952375,space,2.936972999945283,,,,,,,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,2,,,,,,,,,13.951673699950334,14.9510349999764,14.951044029986951,s,1,0.6596275999909267,15.649500100000296,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,1,,,,,,,,,16.648969399975613,17.631572799989954,17.63190642996924,s,1,0.3213816999923438,17.997639399953187,18.996768799959682,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,0,,,,,,,,,18.996768799959682,19.996498099993914,19.996221929986497,s,1,0.33455239998875186,20.37894339999184,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,21.37841489998391,22.377520699985325,22.37747902995907,s,0,0.14443260000552982,22.559688399953302,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
,,,,,,,,,,,,,,,,,,,,,,,,23.559883499983698,23.559883499983698,space,1.4062455000239424,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,1,,,,,24.991065299953334,25.990287099964917,25.990016229997856,s,1,0.5128616999718361,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,,,,,26.539780399994925,27.521875399979763,27.52174282995984,s,1,0.2823610000195913,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,2,2,3,,,,,27.837775099964347,28.820690399967134,28.820672330004165,s,0,0.25220160000026226,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,,,,,29.119805399968755,30.102719499962404,30.102609629998916,t,0,0.23078099999111146,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,2,,,,,30.36873950000154,31.35220839997055,31.351489129965195,s,1,0.12755999999353662,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,31.51809999998659,32.5011308999965,32.50074953000294,s,0,0.05618499999400228,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,0,,,,,32.60035019996576,33.583505899994634,33.582941629947165,s,1,0.48227580002276227,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,2,,,,,34.09917229996063,35.08224560000235,35.08210622998886,t,0,0.06861160002881661,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,2,,,,,35.19784479995724,36.18095999996876,36.18043822995387,s,1,0.16432670003268868,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,2,,,,,36.37999809999019,37.36324189999141,37.36341012999183,s,1,0.14519060001475736,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,2,10,0,,,,,37.545970499981195,38.54518039996037,38.545163729949856,t,0,0.18623769999248907,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,38.77797329996247,39.76135719998274,39.76132362995995,s,0,0.25283270003274083,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,0,12,2,,,,,40.06039149995195,41.04287129995646,41.042748029949145,s,1,0.07615420001093298,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,1,13,0,,,,,41.15897589997621,42.14197289996082,42.142265929980205,s,1,0.10208039998542517,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,1,,,,,42.291190599964466,43.274276999989524,43.27391392996069,s,1,0.07558810000773519,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,0,,,,,43.39025880000554,44.37361459998647,44.3728648299817,s,1,0.37868010002421215,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,1,,,,,44.789053999993484,45.7719259999576,45.7719041299657,s,1,0.28963549999753013,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,17,3,,,,,46.10429759998806,47.10417740000412,47.10337402999867,t,1,0.31284089997643605,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,2,18,3,,,,,47.45318369998131,48.45269099995494,48.45261872998672,s,0,0.1997624000068754,,,,,,,,,,jhg,001,2023-09-22_14h42.48.964,Oddball_task,2022.2.5,59.842399076889905,
