trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,44.54760279999937,44.54760279999937,space,109.08171360000051,,,,,,,,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,0,,,,,,,,,153.68140529999982,154.64879509999992,154.64845496666592,s,1,1.3238260000016453,156.01303029999872,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,1,,,,,,,,,157.01140179999857,157.99965929999962,158.00060066666654,s,1,0.4370722999992722,158.469296199999,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,,,,,159.48367059999873,160.462374499999,160.45109246666678,t,1,0.4398534000010841,160.94746569999916,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,,,,,161.95013189999918,162.93426989999898,162.93427666666528,s,1,0.6866473000009137,163.6487038999985,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,164.66795029999957,164.66795029999957,space,3.0018245999999635,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,0,,,,,167.73146850000012,168.7141978999989,168.71145496666603,s,1,0.7066890000005515,,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,0,,,,,169.449655299999,170.4475980999996,170.44922556666668,s,1,0.5173341999998229,,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,0,,,,,170.99956539999948,171.98333459999958,171.98508956666618,s,1,0.46914640000068175,,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,0,,,,,172.4824463999994,173.46636549999857,173.4676204666669,s,1,0.4590211000013369,,,,,,,levi,003,2023-09-20_15h58.19.353,Oddball_task,2022.2.5,None,
