trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,26.8675561,26.8675561,space,13.353945899998507,,,,,,,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,0,,,,,,,,,40.27257460000146,41.24195510000027,41.24136666666733,s,1,0.5226854999982606,41.821167300000525,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,1,1,3,,,,,,,,,42.81123210000078,43.81023760000062,43.80532926666662,s,0,0.3379250999987562,44.19179350000013,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,2,,,,,,,,,45.19115349999993,46.174046300000555,46.174904466666945,s,1,0.26229869999770017,46.474344800000836,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,1,,,,,,,,,47.477807700000994,48.47397660000024,48.47203716666651,s,1,0.13067759999830741,48.62411729999985,49.62467090000064,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,49.62467090000064,49.62467090000064,space,1.195793599999888,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,1,,,,,50.855841300000975,51.84479740000097,51.83940506666683,s,1,0.5759880999994493,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,,,,,52.45400840000002,53.454028900001504,53.44715446666693,s,1,0.42211609999867505,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,2,2,3,,,,,53.90885890000027,54.88914389999991,54.89409486666797,t,1,0.4600392999982432,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,,,,,55.37595599999986,56.35898720000114,56.362404366668,s,1,0.3817410999999993,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,2,,,,,56.772312500001135,57.75717270000132,57.757428166667765,s,1,0.4235527999990154,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,58.22732780000115,59.20821000000069,59.210329366668034,t,1,0.41353949999938777,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,0,,,,,59.671063400001,60.6580967000009,60.658639066667334,s,1,0.39462189999903785,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,0,,,,,61.091356599999926,62.07723090000036,62.075331966667605,s,1,0.3921076999995421,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,1,,,,,62.49385930000062,63.47279890000027,63.477928866667085,s,1,0.5254383999981656,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,1,9,3,,,,,64.02004090000082,65.02442200000041,65.01021006666657,t,1,0.4127960999994684,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,2,10,0,,,,,65.47160369999983,66.45690950000062,66.45690306666644,s,1,0.3644860999975208,,,,,,,,,,levi,003,2023-09-20_16h02.19.921,Oddball_task,2022.2.5,None,
