trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.22099060000619,17.22099060000619,space,18.449439999982133,,,,,,,,,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,35.70350909999979,36.68851330000325,36.68732649000449,38.68877249999787,39.65620789999957,3.947257182097557,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,0,,,,,39.65620789999957,40.65674710000167,40.65368769000488,42.67070610000519,43.15477990001091,3.483619443662014,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,2,2,3,,,,,43.15477990001091,44.13850190000085,44.13969259000296,46.137918400010676,46.70443470000464,3.533738249991851,t,1,1.1765095999871846,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,1,,,,,46.70443470000464,47.70441079999728,47.70391439000232,49.70369300000311,50.255309000000125,3.537143217354612,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,0,,,,,50.255309000000125,51.25497419999738,51.25380509000242,53.27048380000633,52.95468940000865,2.6912100619981576,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,2,,,,,53.27048380000633,54.27068320001126,54.27094719000015,56.270469299997785,55.35350760001165,2.0838303574875576,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,56.270469299997785,57.2709765000036,57.271410790008666,59.2704672000109,59.28768730000593,3.016247610066393,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,3,7,3,,,,,59.28768730000593,60.28706870001042,60.28621559000603,62.28673449999769,63.15351360000204,3.8616159438602615,t,1,1.1024622999830171,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,0,8,3,,,,,63.15351360000204,64.13651560001017,64.137282590002,66.13636530000076,65.72137630000361,2.5641592285977035,t,1,1.3303338999976404,65.13642010001058,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
