trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.98595469997963,33.98595469997963,space,38.27242719999049,,,,,,,,,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,72.31945749995066,73.27215649996651,73.27488616995397,75.27039799996419,76.95347859995672,4.634267153278537,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,0,,,,,76.95347859995672,77.95351659995504,77.95349816997187,79.95358459994895,81.22056589997374,4.255074234836256,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,1,,,,,81.22056589997374,82.22211279999465,82.22158606998273,84.27926559996558,84.17407139996067,2.936907989122449,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,3,3,3,,,,,84.27926559996558,85.23836899996968,85.23622826994979,87.25222429999849,89.53769859997556,5.255155631189359,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,1,,,,,89.53769859997556,90.53704849997303,90.53702826997615,92.5534851999837,92.08725979999872,2.5363795485854834,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,92.5534851999837,93.55230199999642,93.55164856995107,95.55312189995311,94.75196259998484,2.1963673328113917,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,2,6,3,,,,,95.55312189995311,96.55329329997767,96.55310646999278,98.55486029997701,97.67017989995657,2.101437530582201,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,98.55486029997701,99.55465199996252,99.55413696998149,101.56951289996505,101.63614759995835,3.0765632244652963,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,0,,,,,101.63614759995835,102.63607680000132,102.63672907000291,104.63643559999764,105.8358140999917,4.184820244624575,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
