trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,25.353655900000376,25.353655900000376,space,7.954000199999427,,,,,,,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,0,0,3,,,,,,,,,33.35161150000022,34.33905220000088,34.33742866666786,t,1,1.049250400001256,35.41935370000101,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,2,,,,,,,,,36.42574750000131,37.403554200000144,37.40494626666829,s,1,0.6016464999993332,38.0373139000003,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,1,,,,,,,,,39.05156360000001,40.036978800000725,40.037284766667895,s,1,0.7519642999995995,40.8215909999999,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,0,,,,,,,,,41.834276800000225,42.82224360000146,42.81989416666717,s,1,0.471728799999255,43.33823260000099,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,44.337885599999936,44.337885599999936,space,1.1625258000003669,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,0,,,,,45.55192990000069,46.522545900001205,46.5240440666678,s,1,0.8578503999997338,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,3,,,,,47.421841600000334,48.40246360000128,48.40525386666765,t,1,0.6223960999996052,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,2,,,,,49.04991020000125,50.03945990000102,50.03801066666735,s,1,0.39706870000009076,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,50.48484700000154,51.474295100000745,51.4713722666677,t,1,0.6519396000003326,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,1,,,,,52.15513960000135,53.157452000001285,53.15368526666704,s,1,0.5587736000015866,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,1,5,2,,,,,53.75254649999988,54.73902740000085,54.73585536666748,s,1,0.33255219999955443,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,1,,,,,55.107625100001314,56.085978900000555,56.08971406666775,s,1,0.4952174999998533,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,2,,,,,56.61692860000039,57.601264700000684,57.60403166666789,s,1,0.5476685000012367,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,0,8,3,,,,,58.187079500001346,59.17163830000027,59.16985446666719,t,1,0.520067299999937,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,0,,,,,59.72268090000034,60.703516200001104,60.70589526666687,s,1,0.40544369999952323,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,61.13864360000116,62.12642380000034,62.12216996666781,t,1,0.5173541000003752,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,62.67035670000041,63.6732221000002,63.67058896666664,t,1,0.5147962000010011,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,0,12,0,,,,,64.22016670000085,65.20411510000122,65.20465726666795,s,1,0.43967590000102064,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,1,13,0,,,,,65.68622520000099,66.6869426000012,66.67151426666739,s,1,0.43722879999950237,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,2,,,,,67.15541620000113,68.13938800000142,68.13652236666736,s,1,0.4736116000003676,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,1,,,,,68.63771260000067,69.63720360000116,69.63720826666783,s,1,0.47060810000039055,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,1,,,,,70.14919330000157,71.13648120000107,71.13144776666765,s,1,0.5397615000001679,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,17,3,,,,,71.70161929999995,72.68599020000147,72.68923006666797,t,1,0.5583965000005264,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,2,18,0,,,,,73.2836051000013,74.28673260000141,74.28318036666703,s,1,0.5103574999993725,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,3,19,0,,,,,74.83439630000066,75.81714470000043,75.8221044666682,s,1,0.41098580000107177,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,0,20,2,,,,,76.25498140000127,77.23547390000022,77.23781686666759,s,1,0.5928275999995094,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,1,21,2,,,,,77.85282150000057,78.85186240000075,78.85323016666759,s,1,0.42644259999906353,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,1,,,,,79.31868130000112,80.31656790000125,80.30496816666734,s,1,0.43172260000028473,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,1,,,,,80.77188190000015,81.76800510000066,81.77234066666666,s,1,0.4047847999991063,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,0,24,0,,,,,82.2029988000013,83.20320580000043,83.20437956666707,s,1,0.4169258000001719,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,1,25,3,,,,,83.65086750000046,84.65598760000103,84.64912076666793,t,1,0.4859491999995953,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,2,,,,,85.18688750000001,86.18725440000162,86.18111076666743,s,1,0.4893959000000905,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,3,27,1,,,,,86.71696250000059,87.70375950000016,87.70401216666711,s,1,0.5242317000011099,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,0,28,3,,,,,88.2524110000013,89.2681573000009,89.25300506666669,t,1,0.4971190000014758,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,1,,,,,89.78842780000014,90.78543720000016,90.78560616666825,s,1,0.41208539999934146,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,2,30,1,,,,,91.234583200001,92.21973990000151,92.22005006666792,s,1,0.4088454000011552,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,3,31,3,,,,,92.6501270000008,93.65251650000027,93.65200536666659,t,1,0.5041277000000264,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,0,,,,,94.20224740000049,95.20008760000019,95.20378026666755,s,1,0.4284741999999824,,,,,,,,,,,levi,004,2023-09-20_16h10.27.726,Oddball_task,2022.2.5,None,
