trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.rt,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.045672299995204,20.045672299995204,space,376.9915079999919,,,,,,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,0,,,,,,,,,397.08604360000754,398.07013469999947,398.0670469499979,None,1,400.58157799999753,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,2,,,,,,,,,401.5815059000015,402.5634979000024,402.5630932500004,None,1,405.0773654000077,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,,,,,406.077595499999,407.05926490000274,407.06310225001073,t,1,409.5745989999996,0.9130960999900708,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,1,,,,,,,,,410.5724750000081,411.5571368999954,411.5557158500102,None,1,414.0859919000068,,414.0711242999969,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,1,,,,,,,,,415.08717140000954,416.07028159999754,416.0707256499969,None,1,418.5848161000031,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,1,5,3,,,,,,,,,419.58279840000614,420.5635920000059,420.563071050006,t,1,423.0804716999992,1.1289633999986108,423.0619805000024,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,0,,,,,,,,,424.07657820000895,425.06133320000663,425.0597222500015,None,1,427.57639349999954,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,,,,,428.57268349999504,429.5577276999975,429.55503394999835,None,1,432.0860068000038,,432.07129469999927,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
,,,,,,,,,,,,,,,,,,,,,,,,433.08516560000135,433.08516560000135,space,9.063401100007468,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,0,0,0,,,,,442.19182950000686,443.15879650000716,443.1616577500041,None,1,,,445.65650260000257,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,3,,,,,445.69049000000814,446.67276929999935,446.67394395000304,t,1,,0.9970363000029465,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,2,2,0,,,,,449.18875220000336,450.17160040000454,450.1698477499973,None,1,,,,,,,,451.1701749000058,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,452.6843766999955,453.6680856000021,453.66680245000464,t,1,,0.8655414999957429,456.16398830000253,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,0,4,3,,,,,456.1820465000055,457.16392960000667,457.1651726500073,t,1,,0.9526163999980781,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,1,5,1,,,,,459.6767831000034,460.6615473999991,460.66138145001025,None,1,,,463.17537700000685,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,2,6,0,,,,,463.19135259999894,464.17489300000307,464.17483445000255,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,3,7,3,,,,,466.6873951000016,467.6712426000013,467.6698141500034,t,1,,0.9025855000072625,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,0,8,1,,,,,470.185945899997,471.1677120000095,471.1668591499998,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,1,9,0,,,,,473.6805616000056,474.6628824000072,474.6649921500008,None,1,,,477.1631098000071,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,2,10,1,,,,,477.1773675000004,478.1766052000021,478.1787763499975,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,3,11,2,,,,,480.689988099999,481.67540310000186,481.67293735000715,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,0,12,3,,,,,484.18930090000504,485.1705306000076,485.1711069500103,t,1,,0.8979537999985041,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,1,13,2,,,,,487.68391570000676,488.66716599999927,488.66803735000724,None,1,,,491.1641443999979,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,2,14,3,,,,,491.18241300000227,492.16323150000244,492.16605925000624,t,1,,1.0822255999955814,494.6628383000061,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
