trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,sound_1.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.276925899997877,22.276925899997877,space,9.66833190000034,,,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,0,0,3,,,,,,,,,31.97748760000104,32.46148826666855,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,4,,,,,,,,,32.97870410000178,33.458360766668434,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,,,,,33.98158220000187,34.460861366668055,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,5,,,,,,,,,34.97446900000068,35.45603736666477,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,4,4,2,,,,,,,,,35.97619940000004,36.46144826666229,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,5,5,1,,,,,,,,,36.976112600001215,37.45847166666887,37.95647910000116,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,37.970574499995564,37.970574499995564,space,1.5538515000007465,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,,,,,39.553657899996324,40.035811666665055,40.53953560000082,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,1,1,2,,,,,40.55139559999952,41.035188966667434,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,2,2,5,,,,,41.55409769999824,42.03724716666717,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,3,3,4,,,,,42.55011199999717,43.03593276666312,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,4,4,1,,,,,43.55271740000171,44.03147136666327,44.53543329999957,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,5,5,0,,,,,44.54909290000069,45.029388966668435,,,,,,,,,,001,2023-10-20_15h33.37.643,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,45.55014729999675,48.530793099998846,48.5644941999999,,,,,,,
