trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,36.01042210000014,36.01042210000014,space,70.41767149999987,,,,,,,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,0,0,1,,,,,,,,,106.47288460000004,107.4582441,107.45859756000007,109.95639740000001,None,1,109.98891370000001,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,1,1,2,,,,,,,,,110.97400010000001,111.9572885,111.95771956000002,114.45631320000007,None,1,114.474242,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,2,2,0,,,,,,,,,115.47455319999995,116.45711520000009,116.45709476000005,118.95617809999999,None,1,118.97363020000012,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,3,3,2,,,,,,,,,119.97506780000003,120.95668309999996,120.95703526000014,123.45636270000023,None,1,123.47435080000014,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,0,4,1,,,,,,,,,124.47385870000016,125.45794969999997,125.45712306000021,,None,1,127.97293029999992,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,1,5,0,,,,,,,,,128.97291219999988,129.9559208999999,129.9559844600001,132.45667090000006,None,1,132.47274210000023,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,2,6,3,,,,,,,,,133.4736471000001,134.45556209999995,134.45633056000023,136.95524060000025,t,1,136.97295410000015,0.6674533999998857,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,3,7,3,,,,,,,,,137.97265220000008,138.95537809999996,138.95607466000027,141.45510860000013,t,1,141.47225590000016,0.6362040999997589,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
,,,,,,,,,,,,,,,,,,,,,,,,142.4727868,142.4727868,space,7.393493299999591,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,0,0,0,,,,,149.90286520000018,150.88925590000008,150.88788476000016,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,1,1,1,,,,,153.40485369999988,154.38865380000016,154.3880954600002,156.8891493000001,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,2,2,1,,,,,156.90436869999985,157.88891289999992,157.88739236000018,,None,1,,,,,,,158.88862460000018,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,160.40404080000008,161.3886047000001,161.3877026600001,,t,1,,0.8487973999999667,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,0,4,0,,,,,163.90356340000017,164.88777059999984,164.88709245999988,167.38777140000002,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,1,5,2,,,,,167.4035469999999,168.3877333999999,168.38675296,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,2,6,1,,,,,170.90430909999986,171.88697379999985,171.88730095999998,174.38645099999985,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,3,7,1,,,,,174.40373490000002,175.3718487000001,175.3731092599999,177.8862669,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,0,8,1,,,,,177.9037589999998,178.88659139999982,178.88806106000018,181.38597200000004,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,1,9,3,,,,,181.40357660000018,182.38742279999997,182.38749515999987,184.8859720999999,t,1,,0.7368838999996115,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,2,10,0,,,,,184.90494450000006,185.8861178000002,185.8866229600001,188.3861296,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
