trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,137.9884450999998,137.9884450999998,space,93.62137510000048,,,,,,,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,1,,,,,,,,,231.64742279999973,232.63127859999986,232.63294563999997,235.13067739999997,None,1,235.14994320000005,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,0,,,,,,,,,236.14855829999988,237.13078199999973,237.13150203999984,239.6302953999998,None,1,239.64725809999982,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,1,,,,,,,,,240.64815950000002,241.63054379999994,241.63160514,244.1299653000001,None,1,244.14730370000007,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,2,,,,,,,,,245.1473321999997,246.13015790000009,246.13078413999992,248.63040509999973,None,1,248.64875809999967,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,,,,,249.6474576999999,250.62991749999992,250.63047754,253.13039769999978,None,1,253.14779659999977,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,1,5,3,,,,,,,,,254.1488273,255.13056039999992,255.1309761399999,257.6298345,t,1,257.6474401999999,0.9666589000003114,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,2,6,3,,,,,,,,,258.6473163999999,259.63021449999997,259.63101814000004,262.1298847999997,t,1,262.14742049999995,0.7215762000000723,260.6298615999999,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,0,,,,,,,,,263.14716580000004,264.1301441999999,264.13059734,266.6297811999998,None,1,266.64679380000007,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
,,,,,,,,,,,,,,,,,,,,,,,,,267.64724149999984,267.64724149999984,space,1.5347921000002316,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,,,,,269.2286205999999,270.19626289999997,270.1969689399999,272.69577739999977,t,1,,0.9744104000001244,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,3,,,,,272.7293335999998,273.695745,273.6963082399999,276.1959492000001,t,1,,0.8324685000002319,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,2,2,0,,,,,276.22866799999974,277.1962894999997,277.19725003999986,279.69538139999986,None,1,,,278.19564089999994,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,3,3,2,,,,,279.7287053,280.6958211000001,280.69696553999995,283.19572879999987,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,0,4,2,,,,,283.2283192,284.1952016,284.1966349400001,286.69515139999976,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
