trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,34.02973439999914,34.02973439999914,space,51.56537219999882,,,,,,,,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,1,,,,,,,,,85.63838749999923,86.62410020000243,86.62372668000208,88.62482020000243,s,1,1.8271912999989581,88.6424829000025,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,0,,,,,,,,,89.62588930000129,90.6100213000027,90.61032128000116,92.61203030000252,s,1,0.9497430000010354,92.62837760000184,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,,,,,93.62915340000109,94.61373920000187,94.61394637999948,96.6151783000023,t,1,1.0062415999964287,96.63175860000047,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,,,,,97.63259050000124,98.61727370000153,98.61671697999955,100.61882630000036,s,1,0.6367194000013114,100.63475069999913,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
,,,,,,,,,,,,,,,,,,,,,,,,101.63595890000215,101.63595890000215,space,2.346724399998493,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,2,,,,,104.02029319999929,104.9894830000012,104.98945897999911,106.99107560000266,s,1,0.7934191999993345,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,0,,,,,107.0081276000019,107.99194590000116,107.99203598000204,109.99397080000199,s,1,0.38084170000001905,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,2,,,,,110.01048440000159,110.99403929999971,110.99487528000137,112.99646050000229,s,1,1.7890803999980562,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,0,,,,,113.01262720000159,113.99665500000265,113.99680087999914,115.99839509999947,s,1,1.6335776999985683,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,0,,,,,116.01452620000055,116.99961199999962,116.99914618000221,119.00119430000268,s,1,0.9825688999990234,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,119.01707019999958,120.00132389999999,120.00227078000208,122.00308629999927,t,1,1.0669818999995186,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,0,,,,,122.01998260000255,123.0039151000019,123.00431838000114,125.0055898999999,s,1,0.8924494999992021,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,1,,,,,125.02207850000195,125.99062100000083,125.99047237999949,127.99251920000097,s,1,0.7824058999976842,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,2,,,,,128.0081781000008,128.99241900000197,128.9924057800021,130.99386460000096,s,1,0.6938957999991544,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,2,,,,,131.0113065000005,131.9947745999998,131.99525717999896,133.99636850000024,s,1,0.7378731999997399,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,134.01273960000253,134.99740780000138,134.99757808000177,136.99851019999915,s,0,0.7771499000009499,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,137.0157786000018,138.00019199999952,138.00022738000226,140.00198530000125,t,1,0.9036969000007957,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,0,12,1,,,,,140.0181737999992,141.00260270000217,141.00260118000043,143.0038170000007,s,1,1.0999792999973579,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,1,13,2,,,,,143.02067100000204,143.98799990000043,143.98877978000056,145.99043969999911,s,1,0.846157600000879,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,2,14,3,,,,,146.00608920000013,146.9903703000018,146.99066848000112,148.99218190000101,t,1,0.953213799999503,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,2,,,,,149.00941410000087,149.99314040000172,149.99314637999888,151.99390620000122,s,1,0.8695892999967327,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,2,,,,,152.01046670000142,152.99527520000265,152.99566187999918,154.99734470000112,s,1,1.0352167999990343,,,,,,,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,17,3,,,,,155.01378190000105,155.9980338000023,155.99919488000197,157.9995842999997,t,1,0.791881299999659,,,,,,156.99912300000142,,,,,,elpida_pilot,001,2023-09-22_16h27.13.014,Oddball_task,2022.2.5,59.959083921502476,
