trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp_1.started,Instructions.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,Trial.started,fixation.started,response.started,sound_1.started,sound_1.stopped,Trial.stopped,response.keys,response.corr,response.rt,response.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.02125509997131303,0.038207100005820394,0.038207100005820394,5.949895799974911,space,5.907082699995954,None,,,,,,,,,,,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,1,,,,,5.965092499973252,,,,,,,,,5.957403799984604,5.965092499973252,6.9636653999914415,6.964494059974095,7.979658099997323,8.196752899966668,s,1,1.2200369999627583,None,8.1971421999624,8.212673500005621,9.212112399982288,9.195630799978971,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,0,,,,,9.212112399982288,,,,,,,,,9.195872699958272,9.212112399982288,10.210700700001325,10.211440460005543,,10.61148039996624,t,0,0.38757979997899383,None,10.631203999975696,10.64414529997157,11.642946899984963,11.627301300002728,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,11.642946899984963,,,,,,,,,11.62751079996815,11.642946899984963,12.641773299954366,,,23.33319479995407,s,0,10.678724299999885,None,23.333456499967724,23.348411199986003,24.34786549996352,24.331703100004233,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,24.34786549996352,,,,,,,,,24.331908399995882,24.34786549996352,25.34720219997689,25.346837459952802,,25.664626199984923,s,1,0.3010808000108227,None,25.68117739999434,25.6965698999702,,26.695883099979255,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69595969998045,26.71339170000283,26.71339170000283,27.629495800007135,space,0.903624500031583,None,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,27.64512790000299,,,,,,,,,27.63360359997023,27.64512790000299,28.644224099989515,,,32.10806139995111,s,0,3.4521644999622367,None,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,32.12431889999425,,,,,,,,,32.10863289999543,32.12431889999425,33.12278639996657,33.12349655997823,,33.52338749996852,s,1,0.3865349999978207,None,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,0,33.5554716999759,,,,,,,,,33.54141599999275,33.5554716999759,34.55519300000742,,,37.469705099996645,s,1,2.8999429999967106,None,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,37.48604579997482,,,,,,,,,37.470126700005494,37.48604579997482,38.48453839996364,38.48491135996883,39.50043039995944,40.81643039995106,s,1,2.328736299998127,None,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,1,40.83241469995119,,,,,,,,,40.81689189997269,40.83241469995119,41.83167849999154,41.831797159981214,42.847251900006086,45.16253669996513,s,1,3.3236064999946393,None,,,,,,,,,,,,kjh,001,2023-09-22_13h57.58.156,Oddball_task,2023.2.2,60.12647002109647,2023-09-22 13h58.04.808643 +0200,
,,,,,,,,,,,,45.1790900999913,,,,,,,,,45.163022299995646,45.1790900999913,46.177907899953425,46.17753675999702,47.17687919997843,,,,,,,,,,,,,,,,,,,,,,,,
