trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.254935100034345,22.254935100034345,space,30.382387900026515,,,,,,,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,1,,,,,,,,,52.672184900031425,53.65695279999636,53.65902876668066,s,1,1.5083492000121623,56.67195360001642,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,1,1,3,,,,,,,,,57.67057680001017,58.65183840005193,58.65101296670424,t,1,1.480080800014548,61.66676530003315,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,0,,,,,,,,,62.66432880004868,63.64839580003172,63.64667276671777,s,1,1.594776300014928,66.67644430004293,66.66062390001025,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,,,,,67.66006399999605,68.65803390002111,68.65761936671721,s,1,1.5586440000333823,71.67399090004619,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
,,,,,,,,,,,,,,,,,,,,,,,,72.67554830003064,72.67554830003064,space,3.845792400010396,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,0,,,,,76.56883420003578,77.5536283000256,77.55105406669124,s,1,1.519710800028406,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,2,,,,,80.56593989999965,81.54736480000429,81.54778796667621,s,1,0.7405316000222228,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,0,,,,,84.56175380002242,85.54603970004246,85.54627696669583,s,1,0.703070999996271,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,88.55651030002628,89.53830050001852,89.53861686669212,t,1,0.7427106999675743,,92.53672430000734,,,,,90.53947860002518,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
