trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.747463600011542,22.747463600011542,space,42.464323699998204,,,,,,,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,2,,,,,,,,,65.2577499000181,66.24258770002052,66.24222353001241,s,1,2.0487316000217106,68.32496910000918,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,1,1,3,,,,,,,,,69.32650789999752,70.30977920000441,70.30979623001767,t,1,1.5497362999885809,71.87748960001045,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,1,,,,,,,,,72.89299449999817,73.87584660001448,73.87600583000457,s,1,1.3050080000248272,75.21093339999788,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,0,,,,,,,,,76.22571670002071,77.20877140000812,77.20824313000193,s,1,1.475109400023939,78.7108295999933,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
,,,,,,,,,,,,,,,,,,,,,,,79.72687240000232,79.72687240000232,space,5.988359099981608,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,2,,,,,85.75802229999681,86.74262080001063,86.7427578300063,s,1,1.4694889000093099,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,,,,,88.24134710000362,89.22656030001235,89.22603903000126,s,1,1.016743000014685,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,0,,,,,90.26021740000579,91.26000290000229,91.26018773001269,s,1,1.527498800016474,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,92.80791860001045,93.8086517000047,93.80907703001284,t,1,1.123419699986698,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,2,,,,,94.95846350002103,95.95867890000227,95.95958593001123,s,1,1.1251749999937601,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,97.10891579999588,98.10951810001279,98.1081963300181,t,1,1.2223521000123583,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,2,,,,,99.35829860001104,100.34193210001104,100.3427977299958,s,1,1.3097852999926545,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,1,,,,,101.67493000000832,102.67591540000285,102.67441543001914,s,1,1.088169900001958,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,1,,,,,103.79174000001512,104.79178390000015,104.79187423001858,s,1,1.1331094000197481,,,,,,105.79090960000758,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,1,,,,,105.94164619999356,106.94114229999832,106.94128063000389,s,1,1.1029180999903474,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,2,10,0,,,,,108.07440509999287,109.05978670000331,109.06012883001821,s,1,1.1198142000066582,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,3,11,0,,,,,110.20826099999249,111.20768099999987,111.2072885300091,s,1,1.0367372000182513,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,0,12,1,,,,,112.27437580001424,113.27421319999848,113.27457713000476,s,1,1.3374037999892607,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,1,13,2,,,,,114.6417564000003,115.64168349999818,115.64076023001107,s,1,0.8822782000061125,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,2,,,,,116.5413310000149,117.54176130000269,117.54071813000482,s,1,0.72620000000461,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,1,,,,,118.2912508000154,119.29027329999371,119.29207303001894,s,1,0.6344536000106018,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,2,,,,,119.9573381000082,120.95793010000489,120.95678483001538,s,1,0.7020392999984324,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,1,17,2,,,,,121.69061990000773,122.6909884000197,122.69072202999959,s,1,0.9370945999980904,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,2,18,0,,,,,123.65746250000666,124.65841920001549,124.65738553000264,s,1,0.9137207000167109,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,3,19,1,,,,,125.5900057000108,126.5902294999978,126.59035523002385,s,1,1.0373302999942098,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,0,20,3,,,,,127.6569032999978,128.65742040000623,128.65665673001203,t,1,0.6743993000127375,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,21,3,,,,,129.3574881000095,130.3574886000133,130.35720683002145,t,1,0.8948224000050686,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,1,,,,,131.2737379000173,132.27345209999476,132.27312963001313,s,1,1.162337599991588,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,0,,,,,133.45641070001875,134.45720600002096,134.45704743000678,s,1,1.2028097999864258,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,135.6907377000025,136.68924669999979,136.68863492999807,t,1,1.090680399996927,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,1,25,2,,,,,137.8070105999941,138.80596670001978,138.80647933002328,s,1,1.1023733000038192,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,2,,,,,139.93937360000564,140.94013679999625,140.93891903000767,s,1,1.040582900022855,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,3,27,0,,,,,142.00605450000148,143.0055556000152,143.0055896300124,s,1,0.9829598000214901,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,0,28,3,,,,,144.0064268000133,145.00709369999822,145.0064312300179,t,1,0.9971482000255492,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,1,,,,,146.02305710001383,147.0236952000123,147.02399522999767,s,1,1.0842809000168927,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,2,30,0,,,,,148.13998380000703,149.13987929999712,149.14009873000904,s,1,1.0403302000195254,,,,,,150.13999510000576,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,3,31,3,,,,,150.2064432000043,151.20589139999356,151.2053364300169,t,1,1.014097799983574,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,1,,,,,152.2387990000134,153.2392000000109,153.23967383001,s,1,1.0289446999959182,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,2,,,,,154.2890691999928,155.28859380001086,155.28844953001826,s,1,0.8911605000030249,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,2,34,3,,,,,156.2059886000061,157.2046168000088,157.2041010300105,t,1,0.7916212999843992,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,0,,,,,158.02152969999588,159.0219449000142,159.0229638300021,s,1,1.4711362000089139,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,0,36,3,,,,,160.52219360001618,161.5222735000134,161.52220753000583,t,1,1.1056157000130042,,,,,,162.522043200006,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,1,37,0,,,,,162.65505689999554,163.65610680001555,163.65586603001574,s,1,0.9478447000146843,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,2,38,3,,,,,164.62208810000448,165.62179689999903,165.62206213001045,t,1,1.1023408999899402,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,0,,,,,166.75471229999675,167.75485779999872,167.75549783001188,s,1,1.288996200019028,,,,,,,,,,exptest,001,2023-09-19_13h21.11.495,Oddball_task,2022.2.5,60.0829745867043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.07158740001614,172.05451050002011,172.07101280000643,,,,,,,
