trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.20419220000622,16.20419220000622,space,3.8585777999833226,,,,,,,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,,,,,20.10321259999182,21.086512200010475,21.08661925001652,23.086456599994563,None,1,23.103141700004926,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,,,,,24.10379280001507,25.07183279999299,25.070985350006957,,None,1,27.088199899997562,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,,,,,28.088021500007017,29.07091969999601,29.070967350015415,31.070208299992373,None,1,31.103232199995546,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,32.10331450001104,33.086507900006836,33.08647044998943,35.08669140000711,None,0,35.10319320001872,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
,,,,,,,,,,,,,,,,,,,,,,,36.103807300009066,36.103807300009066,space,4.398678099998506,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,0,0,1,,,,,40.537062100018375,41.51990720001049,41.5198839500139,43.520026799989864,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,1,1,0,,,,,43.536662700003944,44.520395900006406,44.51992945001111,46.51977970000007,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,2,2,0,,,,,46.53674929999397,47.52003600000171,47.51993824999081,49.52000069999485,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,49.536732300010044,50.51990129999467,50.51983385001076,52.51986269999179,None,0,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,0,4,2,,,,,52.53673220000928,53.52039499999955,53.51979935001,55.52065540000331,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,1,5,2,,,,,55.5365882999904,56.52089710001019,56.5197729500127,,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,2,6,2,,,,,58.536533800011966,59.51982270000735,59.51977824999485,61.51983340000152,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,1,3,7,2,,,,,61.53653959999792,62.520355999993626,62.5200099500129,64.5200650000188,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,0,8,3,,,,,64.53700010001194,65.52016610000283,65.51992585001281,67.51997930000653,t,1,,,,,,1.14213719998952,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,1,9,2,,,,,67.53655950000393,68.5199227000121,68.5199737499992,70.51987680001184,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,70.53678530000616,71.52036439999938,71.51982945000637,73.5199006999901,t,1,,,,,,1.1183349999773782,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,3,11,1,,,,,73.53674010001123,74.52047079999465,74.5200632500113,76.52010799999698,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,0,12,2,,,,,76.53661450001528,77.5200085999968,77.5202583500126,79.5199394999945,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,1,13,2,,,,,79.53656969999429,80.52015359999496,80.51983805001365,82.52007840000442,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
