PVT_Trials.thisRepN,PVT_Trials.thisTrialN,PVT_Trials.thisN,PVT_Trials.thisIndex,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.158185399952345,10.158185399952345,space,7.220564699964598,,,,,,,,,,,,,,,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
0,0,0,0,,,,,1.7786945839979964,17.40026410005521,17.40026410005521,18.18277880002279,19.18138429999817,None,19.18138429999817,19.18138429999817,1,728.2358000520617,space,0.7282358000520617,19.930662199971266,20.43055180006195,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
1,0,1,0,,,,,2.2537311196533603,20.43055180006195,20.43055180006195,21.695647899992764,22.195186599972658,None,22.195186599972658,22.195186599972658,1,540.921900072135,space,0.540921900072135,22.76154370000586,23.261369499959983,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
2,0,2,0,,,,,2.1450764478942035,23.261369499959983,23.261369499959983,24.41027039999608,24.909266300033778,None,24.909266300033778,24.909266300033778,1,111.54179996810853,space,0.11154179996810853,25.043145600007847,25.54253009997774,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
3,0,3,0,,,,,3.679266367547023,25.54253009997774,25.54253009997774,28.223121599992737,28.722736299969256,None,28.722736299969256,28.722736299969256,1,266.1696000723168,space,0.2661696000723168,29.006016300059855,29.505175899947062,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
4,0,4,0,,,,,3.3679510668718455,29.505175899947062,29.505175899947062,31.88639240001794,32.385833099950105,None,32.385833099950105,32.385833099950105,1,248.07390000205487,space,0.24807390000205487,32.65251060004812,33.151682700030506,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
5,0,5,0,,,,,1.1306337065385677,33.151682700030506,33.151682700030506,33.285245300037786,33.78429460001644,None,33.78429460001644,33.78429460001644,1,499.2088000290096,space,0.4992088000290096,34.3008876000531,34.80025470000692,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
6,0,6,0,,,,,2.4704189921327258,34.80025470000692,34.80025470000692,36.282586400047876,36.78200889995787,None,36.78200889995787,36.78200889995787,1,255.32390002626926,space,0.25532390002626926,37.06518010003492,37.5809683999978,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
7,0,7,0,,,,,1.010096202712195,37.5809683999978,37.5809683999978,37.59812179999426,38.09767349995673,None,38.09767349995673,38.09767349995673,1,259.7338000778109,space,0.2597338000778109,38.380184300011024,38.8798611999955,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
8,0,8,0,,,,,2.224171003727292,38.8798611999955,38.8798611999955,40.11252399999648,40.6116091000149,None,40.6116091000149,40.6116091000149,1,229.2156999465078,space,0.2292156999465078,40.861355599947274,41.36115380004048,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
9,0,9,0,,,,,1.3843147961021,41.36115380004048,41.36115380004048,41.760485099977814,42.26038039999548,None,42.26038039999548,42.26038039999548,1,225.41590000037104,space,0.22541590000037104,42.50957009999547,43.009302300051786,,001,2023-12-06_15h32.08.182,PVT,2022.2.5,60.098898731208344,
,,,,,,,,2.1605274339293117,43.009302300051786,43.009302300051786,44.17492779996246,,None,,,0,nan,None,,,,,,,,,,
